ID,LABNR,C14AGE,C14STD,C13,MATERIAL,SPECIES,COUNTRY,SITE,PERIOD,CULTURE,PHASE,LOCUS,LATITUDE,LONGITUDE,METHOD,CALAGE,CALSTD,REFERENCE,NOTICE
5400,OxA-5585,4395,50,-24.1,seed,Corylus,England/Wales,Marton-le-Moor,Neolithic,nd,nd,nd,54.1261,-1.4154,14C,3050,100,SE382702,Oxford Date List 29
5401,OxA-5586,4915,65,-23.2,seed,Corylus,England/Wales,Marton-le-Moor,Neolithic,nd,nd,nd,54.1261,-1.4154,14C,3720,60,SE382702,Oxford Date List 29
5402,OxA-5587,4375,45,-26.7,seed,Corylus,England/Wales,Marton-le-Moor,Neolithic,nd,nd,nd,54.1261,-1.4154,14C,3000,70,SE382702,Oxford Date List 29
5403,OxA-5588,4360,45,-24.3,seed,Corylus,England/Wales,Marton-le-Moor,Neolithic,nd,nd,nd,54.1261,-1.4154,14C,2990,60,SE382702,Oxford Date List 29
5404,OxA-5589,4385,55,-24.4,seed,Corylus,England/Wales,Marton-le-Moor,Neolithic,nd,nd,nd,54.1261,-1.4154,14C,3040,100,SE382702,Oxford Date List 29
5405,OxA-5590,4360,90,-24.9,seed,Corylus,England/Wales,Marton-le-Moor,Neolithic,nd,nd,nd,54.1261,-1.4154,14C,3070,150,SE382702,Oxford Date List 29
5406,OxA-5591,4495,50,-23.7,seed,Corylus,England/Wales,Marton-le-Moor,Neolithic,nd,nd,nd,54.1261,-1.4154,14C,3200,100,SE382702,Oxford Date List 29
5407,OxA-5592,4270,90,-26.2,seed,Corylus,England/Wales,Marton-le-Moor,Neolithic,nd,nd,nd,54.1261,-1.4154,14C,2870,150,SE382702,Oxford Date List 29
5408,OxA-2324,1410,80,0,peat ,nd,England/Wales,Midgeholme Moss,Neolithic,nd,nd,nd,54.9915,-2.6049,14C,-610,70,"Archaeometry 33(2), 1991, 279-296",NGR NY613665
5409,OxA-2325,2040,80,0,peat ,nd,England/Wales,Midgeholme Moss,Neolithic,nd,nd,nd,54.9915,-2.6049,14C,60,100,"Archaeometry 33(2), 1991, 279-296",NGR NY613665
5410,OxA-2326,5270,90,0,organic ,nd,England/Wales,Midgeholme Moss,Neolithic,nd,nd,nd,54.9915,-2.6049,14C,4110,110,"Archaeometry 33(2), 1991, 279-296",NGR NY613665
5411,OxA-3169,4620,90,-21.4,bone ,human,England/Wales,Millbarrow,Neolithic,nd,nd,"4169, TRD 431/440",51.4333,-1.85,14C,3350,160,"Archaeometry 34(1), 1992, 141-159",NGR SU 095722
5412,OxA-3170,4630,100,-20.9,antler ,red deer,England/Wales,Millbarrow,Neolithic,nd,nd,5716,51.4482,-1.8633,14C,3360,170,"Archaeometry 34(1), 1992, 141-159",NGR SU 095722
5413,OxA-3171,4750,120,-21.6,bone ,human,England/Wales,Millbarrow,Neolithic,nd,nd,"4096, TRD 401/423",51.4482,-1.8633,14C,3510,130,"Archaeometry 34(1), 1992, 141-159",NGR SU 095722
5414,OxA-3172,4900,110,-20.9,bone ,human,England/Wales,Millbarrow,Neolithic,nd,nd,"6005, TRD 548/569",51.4482,-1.8633,14C,3700,140,"Archaeometry 34(1), 1992, 141-159",NGR SU 095722
5415,OxA-3198,4480,80,-21.8,bone ,human,England/Wales,Millbarrow,Neolithic,nd,nd,"5331, TDR 431/440",51.4333,-1.85,14C,3170,140,"Archaeometry 34(1), 1992, 141-159",NGR SU 095722
5416,OxA-601,6190,90,0,bone,Bos,England/Wales,Misbourne Viaduct,Meso/Neo,nd,nd,nd,51.5803,-0.5335,14C,5130,120,CBA Radiocarbon Index,TQ016879
5417,OxA-603,4070,100,0,bone,Bos,England/Wales,Misbourne Viaduct,Meso/Neo,nd,nd,nd,51.5803,-0.5335,14C,2650,160,CBA Radiocarbon Index,TQ016879
5418,OxA-618,5970,100,0,bone,Bos,England/Wales,Misbourne Viaduct,Meso/Neo,nd,nd,nd,51.5803,-0.5335,14C,4870,120,CBA Radiocarbon Index,TQ016879
5419,OxA-619,6100,120,0,bone,Bos,England/Wales,Misbourne Viaduct,Meso/Neo,nd,nd,nd,51.5803,-0.5335,14C,5030,160,CBA Radiocarbon Index,TQ016879
5420,Q-1560,9430,390,0,charcoal,nd,England/Wales,Money Howe I,Epipalaeolithic,nd,nd,nd,54.3478,-1.0845,14C,8800,530,CBA Radiocarbon Index,SE595951
5421,BM-1216,6752,156,-25.7,charcoal,nd,England/Wales,Monk Moors,Epipalaeolithic,nd,nd,nd,54.3152,-3.4067,14C,5680,140,"British Museum XIII, 153",SD085920
5422,BM-1385,4028,54,-26.4,charcoal,nd,England/Wales,Monk Moors,Epipalaeolithic,nd,nd,nd,54.3152,-3.4067,14C,2580,80,"British Museum XIII, 154",SD085920
5423,OxA-8035,4585,50,-21.2,bone,human,England/Wales,Monkton-up-Wimbourne,Neolithic,nd,nd,nd,0,0,14C,3320,150, ,Oxford Datelist 30
5424,OxA-3392,4110,75,-22.3,charcoal,taxus,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,2700,120,Oxford Date List 18,
5425,OxA-3394,8730,95,-27.4,charcoal,Corylus,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,7820,160,Oxford Date List 18,
5426,OxA-3395,8480,95,-22.5,bone,bovid,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,7500,90,Oxford Date List 18,
5427,OxA-3396,8500,110,-27.5,seed,Corylus,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,7530,110,Oxford Date List 18,
5428,OxA-3397,8900,90,-27.7,seed,Corylus,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,8030,160,Oxford Date List 18,
5429,OxA-3399,9910,90,-18.9,tooth,bovid,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,9470,160,Oxford Date List 18,
5430,OxA-3453,8960,95,-18.3,bone,nd,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,8100,140,Oxford Date List 18,
5431,OxA-4442,3720,80,-21.9,bone,human,England/Wales,Mother Grundy's Parlour,Bronze Age,nd,nd,"MGP 1959, E+FII,I,66",53.2627,-1.1964,14C,2130,120,Oxford Datelist 22,
5432,Q-551,8800,300,0,charcoal,nd,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,7940,350,"British Museum V, 61", 
5433,Q-552,7602,140,0,charcoal,nd,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,6450,150,"British Museum V, 61", 
5434,Q-553 ,6915,140,0,charcoal,nd,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,5820,130,"British Museum V, 61", 
5435,Q-554,6705,140,0,charcoal,nd,England/Wales,Mother Grundy's Parlour,Epipalaeolithic,nd,nd,nd,53.2627,-1.1964,14C,5630,110,CBA Radiocarbon Index,
5436,HAR-4694,4170,80,0,nd,nd,England/Wales,Multiphase site,Epipalaeolithic?,nd,nd,nd,53.3044,-4.6837,14C,2740,110,CBA Radiocarbon Index,
5437,HAR-4695,3890,80,0,nd,nd,England/Wales,Multiphase site,Epipalaeolithic?,nd,nd,nd,53.3044,-4.6837,14C,2350,110,CBA Radiocarbon Index,
5438,OxA-1495,9210,80,-26,charcoal,Corylus,England/Wales,Nab Head Site I,Epipalaeolithic,nd,nd,nd,51.7536,-5.2009,14C,8440,100,CBA Radiocarbon Index,
5439,OxA-1496,9110,80,-26,charcoal,Corylus,England/Wales,Nab Head Site I,Epipalaeolithic,nd,nd,nd,51.7536,-5.2009,14C,8360,90,CBA Radiocarbon Index,
5440,OxA-1498,4950,80,-26,charcoal,Quercus,England/Wales,Nab Head Site I,Epipalaeolithic? anomalous ?,nd,nd,nd,51.7536,-5.2009,14C,3770,100,CBA Radiocarbon Index,
5441,OxA-1497,8070,80,-26,charcoal,Quercus,England/Wales,Nab Head Site II,Epipalaeolithic,nd,nd,nd,51.7536,-5.2009,14C,7000,150,CBA Radiocarbon Index,
5442,OxA-860,7360,90,0,charcoal,nd,England/Wales,Nab Head Site II,Epipalaeolithic,nd,nd,nd,51.7536,-5.2009,14C,6230,110,CBA Radiocarbon Index,
5443,OxA-861,6210,90,0,charcoal,nd,England/Wales,Nab Head Site II,Epipalaeolithic,nd,nd,nd,51.7536,-5.2009,14C,5160,110,CBA Radiocarbon Index,
5444,OxA-7739,4560,90,0,bone,human,England/Wales,Nanna's Cave,Neolithic,nd,nd,nd,51.6333,-4.6667,14C,3280,160,?, 
5445,OxA-7740,4520,65,0,bone,human,England/Wales,Nanna's Cave,Neolithic,nd,nd,nd,51.6333,-4.6667,14C,3220,110,?, 
5446,AA-30354,9075,80,0, nd,nd,England/Wales,nd,nd,nd,nd,nd,0,0,14C,8310,100,"Ashmore, 2004",
5447,Birm-253,3970,85,0,nd,nd,England/Wales,nd,Epipalaeolithic?,nd,nd,nd,52.7187,-1.0568,14C,2480,130,CBA Radiocarbon Index,SK637139
5448,Birm-257,4054,122,0,nd,nd,England/Wales,nd,Epipalaeolithic?,nd,nd,nd,52.7187,-1.0568,14C,2620,180,CBA Radiocarbon Index,SK637139
5449,Birm-326.01,7610,150,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,56.0166,-6.235,14C,6460,160,CBA Radiocarbon Index,NR361885
5450,Birm-326.02,7290,120,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,56.0166,-6.235,14C,6180,130,CBA Radiocarbon Index,NR361885
5451,Birm-326.03,7240,200,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,56.0166,-6.235,14C,6120,200,CBA Radiocarbon Index,NR361885
5452,Birm-346.02,4920,400,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,56.012,-6.2377,14C,3650,490,CBA Radiocarbon Index,NR359880
5453,Birm-419,8120,160,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,51.755,-0.0019,14C,7080,240,CBA Radiocarbon Index,TL379082
5454,BM-1241,8390,70,-26.7,peat,nd,England/Wales,nd,Epipalaeolithic?,nd,nd,nd,51.7048,-0.007,14C,7440,80,CBA Radiocarbon Index,TL377026
5455,HAR-1135,7300,100,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,53.102,-3.5177,14C,6180,110,CBA Radiocarbon Index,SH984572
5456,HAR-1193,7980,140,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,53.1824,-4.4665,14C,6890,190,CBA Radiocarbon Index,SH352679
5457,HAR-1194,8590,90,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,53.1824,-4.4665,14C,7650,90,CBA Radiocarbon Index,SH352679
5458,HAR-1436,5120,100,0,nd,nd,England/Wales,nd,Epipalaeolithic?,nd,nd,nd,53.102,-3.5207,14C,3910,120,CBA Radiocarbon Index,SH982572
5459,HAR-233,5680,120,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,50.8763,-0.9666,14C,4540,130,CBA Radiocarbon Index,SU727091
5460,HAR-2903,8150,100,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,52.7383,0.9333,14C,7160,150,CBA Radiocarbon Index,TF980197
5461,HAR-4323,5180,150,0,nd,nd,England/Wales,nd,Epipalaeolithic? Neolithic,nd,nd,nd,50.009,-5.1435,14C,4000,190,CBA Radiocarbon Index,SW748169
5462,HAR-4475,6040,110,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,51.0616,-0.8768,14C,4970,150,CBA Radiocarbon Index,SU787298
5463,HAR-4531,4340,100,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,51.158,-0.238,14C,3040,160,CBA Radiocarbon Index,TQ232414
5464,HAR-4532,5270,90,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,51.158,-0.238,14C,4110,110,CBA Radiocarbon Index,TQ232414
5465,HAR-4533,5640,90,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,51.158,-0.238,14C,4490,100,CBA Radiocarbon Index,TQ232414
5466,HAR-4568,6450,110,0,nd,nd,England/Wales,nd,Epipalaeolithic? Neolithic,nd,nd,nd,50.009,-5.1435,14C,5410,100,CBA Radiocarbon Index,SW748169
5467,HAR-5668,5470,130,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,49.9898,-5.219,14C,4280,160,CBA Radiocarbon Index,SW693150
5468,HAR-7025,8250,90,0,nd,nd,England/Wales,nd,Epipalaeolithic?r Neolithic,nd,nd,nd,52.7383,0.9333,14C,7290,130,CBA Radiocarbon Index,TF980197
5469,HAR-7063,8280,80,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,52.7383,0.9333,14C,7320,120,CBA Radiocarbon Index,TF980197
5470,I-4407,1145,95,0,nd,nd,England/Wales,nd,Epipalaeolithic?nomalous,nd,nd,nd,51.3507,-0.0784,14C,-860,110,CBA Radiocarbon Index,TQ338631
5471,I-549,4450,200,0,nd,nd,England/Wales,nd,Epipalaeolithic?nd Neolithic,nd,nd,nd,50.4947,-3.6723,14C,3150,260,CBA Radiocarbon Index,SX814675
5472,NZ-1302,7330,280,0,charcoal,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,56.4206,-2.8641,14C,6200,270,Historic Scotland,NO467257
5473,OxA-10384,7855,60,0, nd,nd,England/Wales,nd,nd,nd,nd,nd,0,0,14C,6740,110,"Ashmore, 2004",
5474,OxA-1157,3880,80,0,antler,deer,England/Wales,nd,Epipalaeolithic,nd,nd,nd,54.9893,-1.4936,14C,2340,110,CBA Radiocarbon Index,NZ324662
5475,OxA-1431,1460,70,-26,charcoal,Quercus,England/Wales,nd,Epipalaeolithic? Neolithic ?,nd,nd,nd,51.5647,-0.1877,14C,-550,80,CBA Radiocarbon Index,TQ256867
5476,OxA-2480,2870,80,0,shell ,nd,England/Wales,nd,Neolithic,Early Neolithic,nd,nd,54.0833,-4.75,14C,1060,110,"Archaeometry 37(1), 1995, 195-214","54 05'N, 4 45'W"
5477,OxA-2481,4970,80,0,shell ,nd,England/Wales,nd,Neolithic,Early Neolithic,nd,nd,54.0833,-4.75,14C,3790,100,"Archaeometry 37(1), 1995, 195-214","54 05'N, 4 45'W"
5478,OxA-2623,5660,70,0,charcoal,nd,England/Wales,nd,nd,nd,nd,nd,54.3907,-6.545,14C,4500,90,CBA Radiocarbon Index, 
5479,OxA-8967,8045,55,0, nd,nd,England/Wales,nd,nd,nd,nd,nd,0,0,14C,6960,110,"Ashmore, 2004",
5480,Q-14,9557,210,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,54.2143,-0.4249,14C,8920,280,CBA Radiocarbon Index,TA027810
5481,UB-2470,7935,110,0,nd,nd,England/Wales,nd,Epipalaeolithic,nd,nd,nd,54.9755,-3.0937,14C,6840,160,CBA Radiocarbon Index,NY300651
5482,AA-30349,7185,65,-31.8,wood,Quercus,England/Wales,Newbie Cottage,Botanical,nd,nd,nd,54.9743,-3.3047,14C,6080,70,"Ashmore, 2004",
5483,BM-505,4510,103,0,antler,nd,England/Wales,Normanton Down,Neolithic,nd,nd,nd,51.0167,-1.8333,14C,3200,150,"British Museum VII, 174",51.1
5484,BM-1405,4672,49,-22.9,antler,red deer,England/Wales,North Stoke,Neolithic,nd,nd,nd,51.5655,-1.1184,14C,3470,80,"British Museum XIII, 156",SU611856
5485,BM-49,4680,150,0,charcoal,nd,England/Wales,Nutbane,Neolithic,nd,nd,nd,51.2983,-1.4667,14C,3390,210,British Museum,"51,12,30"
5486,BM-221,7869,104,-25,charcoal,Pinus,England/Wales,Oakhanger,Epipalaeolithic,nd,nd,nd,51.1087,-0.9143,14C,6790,170,"British Museum XI, 339",SU760350
5487,F-67,6300,110,0,charcoal,Corylus,England/Wales,Oakhanger Warren,Epipalaeolithic,nd,nd,nd,51.1121,-0.8942,14C,5250,140,CBA Radiocarbon Index,SU774354
5488,F-68,6380,115,0,charcoal,Pinus,England/Wales,Oakhanger Warren,Epipalaeolithic,nd,nd,nd,51.1121,-0.8942,14C,5340,120,CBA Radiocarbon Index,SU774354
5489,Q-1489,9225,170,0,charcoal,Corylus,England/Wales,Oakhanger Warren Site VII,Epipalaeolithic,nd,nd,nd,51.1148,-0.8898,14C,8500,210,CBA Radiocarbon Index,SU777357
5490,Q-1490,8995,160,0,charcoal,Pinus,England/Wales,Oakhanger Warren Site VII,Epipalaeolithic,nd,nd,nd,51.1148,-0.8898,14C,8120,240,CBA Radiocarbon Index,SU777357
5491,Q-1492,8975,160,0,charcoal,Pinus,England/Wales,Oakhanger Warren Site VII,Epipalaeolithic,nd,nd,nd,51.1148,-0.8898,14C,8090,230,CBA Radiocarbon Index,SU777357
5492,Q-1493,9040,160,0,charcoal,Pinus,England/Wales,Oakhanger Warren Site VII,Epipalaeolithic,nd,nd,nd,51.1148,-0.8898,14C,8190,240,CBA Radiocarbon Index,SU777357
5493,Q-1494,8885,160,0,charcoal,Pinus,England/Wales,Oakhanger Warren Site VII,Epipalaeolithic,nd,nd,nd,51.1148,-0.8898,14C,7990,220,CBA Radiocarbon Index,SU777357
5494,UB-2544,6015,75,0,nd,nd,England/Wales,Occupation material in alluvial sediments,Epipalaeolithic,nd,nd,nd,54.3125,-3.4066,14C,4910,100,CBA Radiocarbon Index,SD085917
5495,UB-2545,5555,40,0,nd,nd,England/Wales,Occupation material in alluvial sediments,Epipalaeolithic,nd,nd,nd,54.3125,-3.4066,14C,4400,40,CBA Radiocarbon Index,SD085917
5496,UB-2546,5650,50,0,nd,nd,England/Wales,Occupation material in alluvial sediments,Epipalaeolithic,nd,nd,nd,54.3125,-3.4066,14C,4470,60,CBA Radiocarbon Index,SD085917
5497,UB-2711,4925,165,0,nd,nd,England/Wales,Occupation material in alluvial sediments,Epipalaeolithic,nd,nd,nd,54.3125,-3.4066,14C,3720,190,CBA Radiocarbon Index,SD085917
5498,UB-2712,5520,85,0,nd,nd,England/Wales,Occupation material in alluvial sediments,Epipalaeolithic,nd,nd,nd,54.3125,-3.4066,14C,4360,80,CBA Radiocarbon Index,SD085917
5499,UB-2713,5480,90,0,nd,nd,England/Wales,Occupation material in alluvial sediments,Epipalaeolithic,nd,nd,nd,54.3125,-3.4066,14C,4310,100,CBA Radiocarbon Index,SD085917
5500,BM-1414,4925,80,-23.6,charcoal,Quercus,England/Wales,Offham Hill,Neolithic,nd,nd,nd,50.8882,-0.0122,14C,3740,90,"British Museum XIV, 231",TQ398118
5501,BM-1415,4740,60,-23.5,charcoal,Quercus,England/Wales,Offham Hill,Neolithic,nd,nd,nd,50.8882,-0.0122,14C,3510,100,"British Museum XIV, 231",TQ398118
5502,BM-1112,4659,52,-25.4,charcoal,nd,England/Wales,Ogmore-by-Sea,Neolithic,nd,Peterborough Ware,nd,51.4674,-3.6371,14C,3460,70,"British Museum, XI, 343",SS863756
5503,HAR-1140,4320,80,0,charcoal,Corylus ,England/Wales,Ogmore-by-Sea,Neolithic,nd,Peterborough Ware,nd,51.4674,-3.6371,14C,2980,100,"British Museum, XI, 343",SS863756
5504,OxA-10616,8760,50,-14.6,bone,human,England/Wales,Ogof-yr-ychen,Epipalaeolithic,nd,nd,Ogof A (98.2H/1) tibia,51.6333,-4.6667,14C,7810,110,Meiklejohn 2011, 
5505,OxA-22987,8465,38,-14.5,bone,human,England/Wales,Ogof-yr-ychen,Epipalaeolithic,nd,nd,Ogof A (98.2H/1) tibia repeat,51.6333,-4.6667,14C,7540,30,Meiklejohn 2011, 
5506,OxA-2574,7020,100,-18.3,bone,human,England/Wales,Ogof-yr-ychen,Epipalaeolithic,nd,nd,Ogof B (98.24/14) mandible,51.6399,-4.6791,14C,5890,100,Oxford Date List 18, 
5507,OxA-7690,8280,65,-15.2,bone,human,England/Wales,Ogof-yr-ychen,Epipalaeolithic,nd,nd,YY-114 (98.2H/145) innominate,51.6333,-4.6667,14C,7320,110,Meiklejohn 2011, 
5508,OxA-7691,8210,50,-14.4,bone,human,England/Wales,Ogof-yr-ychen,Epipalaeolithic,nd,nd,YY-115 (98.2H/145) innominate,51.6333,-4.6667,14C,7220,90,Meiklejohn 2011, 
5509,OxA-7741,8415,90,-15.9,bone,human,England/Wales,Ogof-yr-ychen,Epipalaeolithic,nd,nd,Ogof C (98.2H/179) mandible,51.6333,-4.6667,14C,7450,100,Meiklejohn 2011, 
5510,OxA-7742,7880,70,-15.7,bone,human,England/Wales,Ogof-yr-ychen,Epipalaeolithic,nd,nd,Ogof B (98.24/14) mandible,51.6333,-4.6667,14C,6800,140,Meiklejohn 2011, 
5511,HAR-4115,930,70,0,nd,nd,England/Wales,Open site,Epipalaeolithic? anomalous,nd,nd,nd,51.5647,-0.1877,14C,-1100,70,CBA Radiocarbon Index,TQ256867
5512,OxA-4777,8615,75,-20.2,bone,h,England/Wales,Oreston Third Bone Cave,M,nd,GS 267 (clavicle),nd,50.36,-4.1,14C,7660,80,Meiklejohn 2012,
5513,BM-1213,4741,113,-24,charcoal,nd,England/Wales,Orsett,Neolithic,nd,nd,nd,51.4996,-0.3818,14C,3500,120,"British Museum XIII, 152",TQ653806
5514,BM-1214,4533,112,-22.7,charcoal,nd,England/Wales,Orsett,Neolithic,nd,nd,nd,51.4996,-0.3818,14C,3240,180,"British Museum XIII, 152",TQ653806
5515,BM-1215,4585,82,-25.3,charcoal,nd,England/Wales,Orsett,Neolithic,nd,nd,nd,51.4996,-0.3818,14C,3310,160,"British Museum XIII, 152",TQ653806
5516,BM-1377,4620,43,-25.5,charcoal,nd,England/Wales,Orsett,Neolithic,nd,nd,nd,51.4996,-0.3818,14C,3420,70,"British Museum XIII, 152",TQ653806
5517,BM-1378,4726,74,-24.3,charcoal,nd,England/Wales,Orsett,Neolithic,nd,nd,nd,51.4996,-0.3818,14C,3500,100,"British Museum XIII, 152",TQ653806
5518,OxA-630,4860,55,0,bone,human,England/Wales,Ossom's Cave,Neolithic,nd,nd,nd,53.0833,-1.85,14C,3630,70,?, 
5519,OxA-4354,8170,130,-28.5,wood,Salix,England/Wales,Oxford BT Tunnel,Epipalaeolithic,nd,nd,nd,51.7463,-1.2554,14C,7160,200,Oxford Date List 18,SP514056
5520,OxA-3342,9390,70,0,nd,nd,England/Wales,Palynology monolith,Epipalaeolithic,nd,nd,nd,54.2133,-0.4234,14C,8670,90,CBA Radiocarbon Index,TA028809
5521,OxA-6487,4685,65,-21.2,bone,human,England/Wales,Parc le Breos,Neolithic,nd,nd,Chambered Cairn,51.5878,-4.1118,14C,3490,100,SS53728983,Oxford Date List 26
5522,OxA-6488,4780,60,-20.7,bone,human,England/Wales,Parc le Breos,Neolithic,nd,nd,Chambered Cairn,51.5878,-4.1118,14C,3530,90,SS53728983,Oxford Date List 26
5523,OxA-6489,4445,60,-21.3,bone,human,England/Wales,Parc le Breos,Neolithic,nd,nd,Chambered Cairn,51.5878,-4.1118,14C,3140,140,SS53728983,Oxford Date List 26
5524,OxA-6490,4660,60,-21.2,bone,human,England/Wales,Parc le Breos,Neolithic,nd,nd,Chambered Cairn,51.5878,-4.1118,14C,3460,80,SS53728983,Oxford Date List 26
5525,OxA-6491,4710,60,-21.2,bone,human,England/Wales,Parc le Breos,Neolithic,nd,nd,Chambered Cairn,51.5878,-4.1118,14C,3500,100,SS53728983,Oxford Date List 26
5526,OxA-6492,4805,55,-21.3,bone,human,England/Wales,Parc le Breos,Neolithic,nd,nd,Chambered Cairn,51.5878,-4.1118,14C,3580,60,SS53728983,Oxford Date List 26
5527,OxA-6493,4875,55,-21.8,bone,human,England/Wales,Parc le Breos,Neolithic,nd,nd,Chambered Cairn,51.5878,-4.1118,14C,3670,60,SS53728983,Oxford Date List 26
5528,OxA-6494,4645,60,-21.4,bone,human,England/Wales,Parc le Breos,Neolithic,nd,nd,Chambered Cairn,51.5878,-4.1118,14C,3440,80,SS53728983,Oxford Date List 26
5529,OxA-6496,4850,65,-21.5,bone,human,England/Wales,Parc le Breos,Neolithic,nd,nd,Chambered Cairn,51.5878,-4.1118,14C,3620,80,SS53728983,Oxford Date List 26
5530,OxA-6499,7665,65,-19.5,bone,dog,England/Wales,Parc le Breos,Neolithic,nd,nd,Chambered Cairn,51.5878,-4.1118,14C,6520,60,SS53728983,Oxford Date List 26
5531,OxA-681,7190,80,0,bone,human,England/Wales,Paviland Cave,Epipalaeolithic,nd,nd,Pav 2/EM.603,51.5498,-4.2546,14C,6080,90,Meiklejohn 2011,SS437859
5532,HAR-6498,8210,150,0,nd,nd,England/Wales,peat site,Epipalaeolithic,nd,nd,nd,54.2231,-0.4154,14C,7210,200,CBA Radiocarbon Index,TA033820
5533,OxA-5865,4800,55,-20.7,tooth,human,England/Wales,Picken's Hole,Neolithic,nd,nd,nd,51.2904,-2.8663,14C,3570,60,ST396550,Oxford Date List 24
5534,BM-2181R,5750,110,0,bone,Bos,England/Wales,Pitstone,Epipalaeolithic?,nd,nd,nd,51.8164,-0.6463,14C,4600,120,CBA Radiocarbon Index,SP933140
5535,OxA-5819,7420,40,0,bone,human,England/Wales,Pontnewedd,Epipalaeolithic,nd,nd,nd,53.2167,-3.4667,14C,6310,50,?, 
5536,OxA-7687,7880,55,-16.1,bone,human,England/Wales,Potters Cave,Epipalaeolithic,nd,nd,PC1 (63.337/20) metacarpal,51.6416,-4.6827,14C,6790,120,Meiklejohn 2011,Oxford Datelist 30
5537,OxA-7688,8580,60,-17,bone,human,England/Wales,Potters Cave,Epipalaeolithic,nd,nd,91.7H/308 (ulna),51.6416,-4.6827,14C,7620,60,Meiklejohn 2011,Oxford Datelist 30
5538,OxA-2268,8700,100,-23.5,seed,Corylus,England/Wales,Prestatyn,Epipalaeolithic,nd,nd,PRE1,53.3263,-3.4115,14C,7790,150,Oxford Date List 18,SJ060820
5539,OxA-2269,8730,90,-23.6,seed,Corylus,England/Wales,Prestatyn,Epipalaeolithic,nd,nd,PRE2,53.3263,-3.4115,14C,7820,150,Oxford Date List 18,SJ060820
5540,HAR-4633,6750,100,0,nd,nd,England/Wales,presumed Meso pit,Epipalaeolithic?,nd,nd,nd,51.8355,0.6985,14C,5660,80,CBA Radiocarbon Index,TL 859187
5541,OxA-10647,4950,45,0,bone,human,England/Wales,Priory Farm Cave,Neolithic,nd,nd,nd,51.6667,-4.9167,14C,3730,50,NGRSM976019, 
5542,GU-18416,4490,35,-20.5,bone,human,England/Wales,Quanterness,Neolithic,nd,Chamber Tomb,nd,58.988,-3.0258,14C,3210,90,Schulting 2013,NGR HY 4177 1292
5543,GU-18417,4395,35,-20.5,bone,human,England/Wales,Quanterness,Neolithic,nd,Chamber Tomb,nd,58.988,-3.0258,14C,3010,60,Schulting 2013,NGR HY 4177 1292
5544,GU-18418,4585,35,-20.3,bone,human,England/Wales,Quanterness,Neolithic,nd,Chamber Tomb,nd,58.988,-3.0258,14C,3330,130,Schulting 2013,NGR HY 4177 1292
5545,GU-18419,4555,35,-20.5,bone,human,England/Wales,Quanterness,Neolithic,nd,Chamber Tomb,nd,58.988,-3.0258,14C,3250,100,Schulting 2013,NGR HY 4177 1292
5546,GU-18420,4440,35,-20.4,bone,human,England/Wales,Quanterness,Neolithic,nd,Chamber Tomb,nd,58.988,-3.0258,14C,3150,130,Schulting 2013,NGR HY 4177 1292
5547,GU-18421,4280,35,-21.3,bone,human,England/Wales,Quanterness,Neolithic,nd,Chamber Tomb,nd,58.988,-3.0258,14C,2900,30,Schulting 2013,NGR HY 4177 1292
